cik,company,event_date,event_year,sic,sic_division,resolved,ticker,provenance,reason_code,exclusion_family,n_bankruptcy_events,is_chapter_22,subsequent_event_dates,xbrl_instances_seen,has_xbrl_fundamentals,public_float_usd,listing_start,listing_end,notes,size_decile
0000074273,OLD STONE CORP  (CIK 0000074273),2012-06-06,2012,6035,"Finance, Insurance, Real Estate",False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,OSTN rejected: not in listing table | OSTNQ rejected: not in listing table,
0000312065,FLORIDA GAMING CORP  (CIK 0000312065),2012-11-08,2012,7990,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,2,True,2013-08-21,54,True,2348559.0,,,FGMG rejected: not in listing table | FGMGQ rejected: not in listing table,1
0000356708,FIRST REGIONAL BANCORP  (CIK 0000356708),2012-10-23,2012,6022,"Finance, Insurance, Real Estate",True,FRGBQ,filing_text,RESOLVED_FILING_TEXT,resolved,2,True,2013-08-29,0,False,,1995-08-22,2014-11-06,FRGB rejected: not in listing table,
0000731859,AMPAL-AMERICAN ISRAEL CORP  (CIK 0000731859),2012-08-31,2012,6799,"Finance, Insurance, Real Estate",False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,12,True,19923613.0,,,"AMPL rejected: listing starts 2021-09-28, after event 2012-08-31 | AMPLQ rejected: listing starts 2016-01-22, after event 2012-08-31",4
0000811036,"TaxMasters, Inc.  (CIK 0000811036)",2012-03-16,2012,7200,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,TELM rejected: not in listing table | TELMQ rejected: not in listing table | SNHS rejected: not in listing table,
0000831246,FRANKLIN CREDIT HOLDING CORP/DE/  (CIK 0000831246),2012-06-05,2012,6199,"Finance, Insurance, Real Estate",False,,,AMBIGUOUS_OVERLAPPING,data_unavailability,1,False,,6,True,443839.0,,,FCMCQ and FCSC traded concurrently for 1278 days | FCMC rejected: not in listing table | FCSCQ rejected: not in listing table,1
0000856569,ENCORIUM GROUP INC  (CIK 0000856569),2012-05-18,2012,8731,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,ENCO rejected: not in listing table | ENCOQ rejected: not in listing table,
0000885551,VALENCE TECHNOLOGY INC  (CIK 0000885551),2012-07-13,2012,3690,Manufacturing,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,10,True,85745646.0,,,"VLNC rejected: not in listing table | VLNCQ rejected: listing starts 2012-07-16, after event 2012-07-13",7
0000894552,"ACEM HOLDINGS, INC.  (EMDF)  (CIK 0000894552)",2012-04-17,2012,3841,Manufacturing,False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0000913144,"RENAISSANCERE HOLDINGS LTD  (RNR, RNR-PF, RNR-PG)  (CIK 0000913144)",2012-05-22,2012,6331,"Finance, Insurance, Real Estate",True,RNR,xbrl,RESOLVED_XBRL,resolved,1,False,,16,True,11300000000.0,1995-07-27,2026-08-18,RNRQ rejected: not in listing table | RNR-PF rejected: not in listing table | RNR-PFQ rejected: not in listing table,10
0000944725,UNITED WESTERN BANCORP INC  (CIK 0000944725),2012-03-05,2012,6022,"Finance, Insurance, Real Estate",False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,UWBK rejected: not in listing table | UWBKQ rejected: not in listing table,
0001010286,FiberTower CORP  (CIK 0001010286),2012-07-18,2012,4812,Transport & Utilities,True,FTWRQ,filing_text,RESOLVED_FILING_TEXT,resolved,1,False,,21,True,,2012-01-30,2014-03-31,FTWR rejected: not in listing table | FRNS rejected: not in listing table | FRNSQ rejected: not in listing table,
0001043156,STAR BUFFET INC  (CIK 0001043156),2012-12-20,2012,5812,Retail Trade,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,4,True,969000.0,,,"STRZ rejected: listing starts 2025-05-07, after event 2012-12-20 | STRZQ rejected: not in listing table | STRZPK rejected: not in listing table",1
0001068912,FIRST PLACE FINANCIAL CORP /DE/  (CIK 0001068912),2012-10-29,2012,6035,"Finance, Insurance, Real Estate",False,,,LISTING_EXCLUDES_EVENT,data_unavailability,2,True,2013-03-12,0,False,,,,"FPFC rejected: not in listing table | FPFCQ rejected: listing starts 2014-09-22, after event 2012-10-29",
0001104358,BROADVIEW NETWORKS HOLDINGS INC  (CIK 0001104358),2012-08-23,2012,4813,Transport & Utilities,False,,,NO_TRADING_SYMBOL_TAG,data_unavailability,1,False,,34,True,,,,no candidate symbols found,
0001134016,MIDWEST GENERATION LLC  (CIK 0001134016),2012-12-21,2012,4991,Transport & Utilities,False,,,NO_TRADING_SYMBOL_TAG,data_unavailability,1,False,,88,True,,,,no candidate symbols found,
0001167178,"A123 SYSTEMS, INC.  (CIK 0001167178)",2012-10-17,2012,3690,Manufacturing,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,66,True,546375821.0,,,"AONE rejected: not in listing table | AONEQ rejected: listing starts 2012-11-07, after event 2012-10-17",9
0001203957,BIONOVO INC  (CIK 0001203957),2012-11-01,2012,2834,Manufacturing,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,8,True,34900000.0,,,"BNVI rejected: not in listing table | BNVIQ rejected: listing starts 2016-01-04, after event 2012-11-01",5
0001274563,HELICOS BIOSCIENCES CORP  (CIK 0001274563),2012-11-15,2012,2834,Manufacturing,True,HLCSQ,filing_text,RESOLVED_FILING_TEXT,resolved,1,False,,10,True,6119963.0,2010-11-16,2014-03-28,HLCS rejected: not in listing table,2
0001341293,Neogenix Oncology Inc  (CIK 0001341293),2012-07-26,2012,2835,Manufacturing,False,,,NO_TRADING_SYMBOL_TAG,data_unavailability,1,False,,6,True,,,,no candidate symbols found,
0001376812,Patriot Coal CORP  (CIK 0001376812),2012-07-09,2012,1220,Mining,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,16,True,111600000.0,,,"PCX rejected: listing starts 2021-12-14, after event 2012-07-09 | PCXQ rejected: not in listing table",7
0001397867,Global Aviation Holdings Inc.  (CIK 0001397867),2012-02-06,2012,4522,Transport & Utilities,False,,,NO_TRADING_SYMBOL_TAG,data_unavailability,1,False,,2,True,,,,no candidate symbols found,
0001448064,"RoomStore, Inc.  (CIK 0001448064)",2012-07-24,2012,5712,Retail Trade,False,,,NO_TRADING_SYMBOL_TAG,data_unavailability,1,False,,2,True,,,,no candidate symbols found,
0000006201,AMR CORP  (AAL)  (CIK 0000006201),2013-10-23,2013,4512,Transport & Utilities,True,AAL,xbrl,RESOLVED_XBRL,resolved,1,False,,68,True,7400000000.0,2005-09-27,2026-08-18,AALQ rejected: not in listing table,10
0000031235,EASTMAN KODAK CO  (KODK)  (CIK 0000031235),2013-08-29,2013,3861,Manufacturing,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,122,True,364000000.0,,,"KODK rejected: listing starts 2013-09-23, after event 2013-08-29 | KODKQ rejected: not in listing table",9
0000726990,AMERICANWEST BANCORPORATION  (CIK 0000726990),2013-09-06,2013,6022,"Finance, Insurance, Real Estate",True,AWBCQ,filing_text,RESOLVED_FILING_TEXT,resolved,1,False,,0,False,,2010-03-15,2013-10-08,AWBC rejected: not in listing table,
0000810208,"AuraSound, Inc.  (CIK 0000810208)",2013-01-31,2013,3651,Manufacturing,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,4,True,6210507.0,,,ARUZ rejected: not in listing table | ARUZQ rejected: not in listing table | ARAU rejected: not in listing table,2
0000852570,GLOBAL AXCESS CORP  (CIK 0000852570),2013-08-06,2013,7389,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,14,True,10797759.0,,,GAXC rejected: not in listing table | GAXCQ rejected: not in listing table,3
0000867687,"AMERICA WEST RESOURCES, INC.  (CIK 0000867687)",2013-02-07,2013,1220,Mining,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,2,True,8361723.0,,,AWSR rejected: not in listing table | AWSRQ rejected: not in listing table,2
0000896842,ORCHARD SUPPLY HARDWARE STORES CORP  (CIK 0000896842),2013-06-17,2013,5200,Retail Trade,False,,,NO_COMMON_EQUITY,model_inapplicability,1,False,,0,True,22200000.0,,,"XBRL present but no common shares outstanding reported: limited partnership, trust, or special-purpose entity -- not a Merton object",4
